SingleThreaded_cpu,SingleThreaded_wall,SingleThreadedSimd_cpu,SingleThreadedSimd_wall,OpenMP_cpu,OpenMP_wall,OpenMPSimd_cpu,OpenMPSimd_wall,CUDA_cpu,CUDA_wall,CUDASimd_cpu,CUDASimd_wall
818335,818533,354145,354144,5.72445e+06,26226,3.11342e+06,83131,1025,993,851,856
912549,918002,357633,357644,5.54817e+06,90468,4.34262e+06,16997,990,996,853,859
956767,956764,358524,358523,5.2756e+06,100032,3.8095e+06,92803,988,993,859,864
889143,889170,357456,357455,5.03038e+06,92084,3.85639e+06,16976,987,993,854,858
860347,860365,358857,358856,5.50526e+06,94984,2.85075e+06,81910,989,994,850,854
891720,891756,358748,358845,5.45794e+06,96661,3.70187e+06,91454,988,993,860,867
839530,839551,359553,359561,5.61461e+06,99620,3.9224e+06,17259,989,994,863,869
865296,865307,355931,355930,5.68172e+06,26821,3.03911e+06,82690,989,994,857,863
856772,856800,353940,353959,6.49707e+06,98456,4.29558e+06,17120,987,992,852,857
886510,886742,353981,353979,4.50818e+06,96674,3.7735e+06,91231,987,992,851,857
862975,862998,354004,354012,5.15427e+06,86508,3.8969e+06,22510,989,994,860,867
